time,lap
16,1.000000
33,1.000000
100,1.000000
150,1.000000
200,1.000000
245,1.000000
300,1.000000
367,1.000000
417,1.000000
467,1.000000
517,1.000000
567,1.000000
633,1.000000
683,1.000000
750,1.000000
800,1.000000
850,1.000000
900,1.000000
951,1.000000
1001,1.000000
1067,1.000000
1102,1.000000
1167,1.000000
1217,1.000000
1284,1.000000
1334,1.000000
1401,1.000000
1451,1.000000
1501,1.000000
1567,1.000000
1618,1.000000
1668,1.000000
1734,1.000000
1785,1.000000
1851,1.000000
1901,1.000000
1951,1.000000
2014,1.000000
2051,1.000000
2118,1.000000
2168,1.000000
2218,1.000000
2268,1.000000
2335,1.000000
2385,1.000000
2435,1.000000
2485,1.000000
2536,1.000000
2582,1.000000
2652,1.000000
2702,1.000000
2752,1.000000
2818,1.000000
2868,1.000000
2919,1.000000
2969,1.000000
3019,1.000000
3085,1.000000
3135,1.000000
3186,1.000000
3252,1.000000
3302,1.000000
3369,1.000000
3419,1.000000
3486,1.000000
3536,1.000000
3603,1.000000
3653,1.000000
3702,1.000000
3769,1.000000
3819,1.000000
3886,1.000000
3936,1.000000
3986,1.000000
4036,1.000000
4103,1.000000
4153,1.000000
4203,1.000000
4270,1.000000
4320,1.000000
4386,1.000000
4436,1.000000
4503,1.000000
4553,1.000000
4603,1.000000
4670,1.000000
4720,1.000000
4787,1.000000
4837,1.000000
4887,1.000000
4954,1.000000
5003,1.000000
5070,1.000000
5120,1.000000
5187,1.000000
5237,1.000000
5304,1.000000
5354,1.000000
5404,1.000000
5471,1.000000
5521,1.000000
5587,1.000000
5637,1.000000
5687,1.000000
5754,1.000000
5804,1.000000
5854,1.000000
5921,1.000000
5971,1.000000
6021,1.000000
6071,1.000000
6138,1.000000
6188,1.000000
6255,1.000000
6305,1.000000
6355,1.000000
6405,1.000000
6471,1.000000
6522,1.000000
6588,1.000000
6638,1.000000
6688,1.000000
6738,1.000000
6805,1.000000
6855,1.000000
6922,1.000000
6970,1.000000
7039,1.000000
7090,1.000000
7140,1.000000
7205,1.000000
7255,1.000000
7306,1.000000
7355,1.000000
7422,1.000000
7472,1.000000
7519,1.000000
7572,1.000000
7639,1.000000
7689,1.000000
7756,1.000000
7806,1.000000
7856,1.000000
7923,1.000000
7973,1.000000
8023,1.000000
8073,1.000000
8140,1.000000
8190,1.000000
8240,1.000000
8306,1.000000
8357,1.000000
8407,1.000000
8473,1.000000
8524,1.000000
8573,1.000000
8640,1.000000
8690,1.000000
8757,1.000000
8816,1.000000
8873,1.000000
8923,1.000000
8990,1.000000
9040,1.000000
9090,1.000000
9140,1.000000
9207,1.000000
9257,1.000000
9307,1.000000
9357,1.000000
9407,1.000000
9474,1.000000
9524,1.000000
9574,1.000000
9641,1.000000
9691,1.000000
9757,1.000000
9808,1.000000
9858,1.000000
9924,1.000000
9974,1.000000
10041,1.000000
10092,1.000000
10141,1.000000
10208,1.000000
10258,1.000000
10324,1.000000
10375,1.000000
10425,1.000000
10491,1.000000
10541,1.000000
10591,1.000000
10658,1.000000
10708,1.000000
10775,1.000000
10826,1.000000
10892,1.000000
10942,1.000000
10992,1.000000
11042,1.000000
11109,1.000000
11158,1.000000
11225,1.000000
11275,1.000000
11325,1.000000
11393,1.000000
11423,1.000000
11492,1.000000
11542,1.000000
11592,1.000000
11642,1.000000
11709,1.000000
11759,1.000000
11826,1.000000
11876,1.000000
